N,p,workload,comparison,metric,comparison_mean,GRR_mean,diff_mean,ci95_low,ci95_high,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
1001,0.2,uniform,AgeMIS,mean_wait,0.23015805527164257,0.556994483328907,-0.3268364280572644,-0.32746288108391897,-0.3262099750306099,2.7439651428910196e-29,0.00048828125,3.6769132914739665e-27,0.0703125
1001,0.2,uniform,AgeMIS,max_wait,3.9166666666666665,2.0,1.9166666666666667,1.7332512366590302,2.1000820966743032,1.1875656785311627e-10,0.00048828125,5.700315256949581e-09,0.0703125
1001,0.2,uniform,AgeMIS,jain,0.9987176579788962,0.9988090313482468,-9.137336935088891e-05,-0.00010866011200176623,-7.40866267000116e-05,1.5985654154261765e-07,0.00048828125,4.79569624627853e-06,0.0703125
1001,0.2,uniform,GuardedFill,throughput,190.6628888888889,180.04174999999998,10.62113888888888,10.597028396080573,10.645249381697186,1.7644833165303411e-28,0.00048828125,2.2585386451588367e-26,0.0703125
1001,0.2,uniform,GuardedFill,mean_wait,0.24784694435141433,0.556994483328907,-0.30914753897749264,-0.30967271359006127,-0.308622364364924,7.273796510607239e-30,0.00048828125,1.003783918463799e-27,0.0703125
1001,0.2,uniform,GuardedFill,max_wait,2.0,2.0,0.0,0.0,0.0,,1.0,1.0,1.0
1001,0.2,uniform,GuardedFill,jain,0.9987229319948124,0.9988090313482468,-8.60993534346673e-05,-0.00010057119352848917,-7.162751334084544e-05,4.719352918726557e-08,0.00048828125,1.6989670507415605e-06,0.0703125
1001,0.2,uniform,RotatingGreedy,throughput,191.33152777777778,180.04174999999998,11.289777777777774,11.250246047753668,11.329309507801879,2.0752082170709115e-26,0.00048828125,2.4694977783143845e-24,0.0703125
1001,0.2,uniform,RotatingGreedy,mean_wait,0.22943299776815607,0.556994483328907,-0.327561485560751,-0.3281037014377948,-0.32701926968370715,5.4691272303391405e-30,0.00048828125,7.6020868501714055e-28,0.0703125
1001,0.2,uniform,RotatingGreedy,max_wait,7.333333333333333,2.0,5.333333333333333,4.919492310054451,5.747174356612215,1.2260228626337071e-11,0.00048828125,6.252716599431907e-10,0.0703125
1001,0.2,uniform,RotatingGreedy,jain,0.9986973276699226,0.9988090313482468,-0.00011170367832450771,-0.00013164176305191378,-9.176559359710163e-05,8.789787032148657e-08,0.00048828125,2.9006297206090565e-06,0.0703125
1001,0.4,hotspot,AgeMIS,throughput,318.5749166666666,303.3301111111111,15.244805555555558,15.17819805677201,15.311413054339107,2.369061788852216e-25,0.00048828125,2.724421057180048e-23,0.0703125
1001,0.4,hotspot,AgeMIS,mean_wait,0.48885666381245496,0.6615238676356426,-0.1726672038231877,-0.17297690668872284,-0.17235750095765257,1.3223039663744502e-29,0.00048828125,1.7983333942692522e-27,0.0703125
1001,0.4,hotspot,AgeMIS,max_wait,5.0,2.0,3.0,3.0,3.0,0.0,0.00048828125,0.0,0.0703125
