N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain
5,0.05,hotspot,11,AgeMIS,0.2474,0.020614389652384803,0,1,1,0.3068658667978223
5,0.05,hotspot,11,GuardedFill,0.2474,0.021018593371059015,0,1,1,0.3068658667978223
5,0.05,hotspot,12,GRR,0.2218,0.8561767357980162,2,2,2,0.3439016905242422
5,0.05,hotspot,12,RotatingGreedy,0.2513,0.027855153203342618,0,1,2,0.3223512585272132
5,0.05,hotspot,12,AgeMIS,0.2511,0.026682596575069693,0,1,1,0.3227842667575189
5,0.05,hotspot,12,GuardedFill,0.2513,0.027855153203342618,0,1,1,0.3223512585272132
5,0.05,hotspot,13,GRR,0.2226,0.8661275831087152,2,2,2,0.324752441504495
5,0.05,hotspot,13,RotatingGreedy,0.253,0.024110671936758893,0,1,2,0.3057039682914936
5,0.05,hotspot,13,AgeMIS,0.2525,0.02297029702970297,0,1,1,0.3062601851551626
5,0.05,hotspot,13,GuardedFill,0.2531,0.02449624654286843,0,1,1,0.30564912783783416
5,0.05,hotspot,14,GRR,0.219,0.8767123287671232,2,2,2,0.3261470500832011
5,0.05,hotspot,14,RotatingGreedy,0.2522,0.022204599524187154,0,1,2,0.30613336773060773
5,0.05,hotspot,14,AgeMIS,0.2516,0.01987281399046105,0,1,1,0.30646622423706066
5,0.05,hotspot,14,GuardedFill,0.252,0.02142857142857143,0,1,2,0.3062440925136475
5,0.05,hotspot,15,GRR,0.2164,0.8743068391866913,2,2,2,0.32224296544429987
5,0.05,hotspot,15,RotatingGreedy,0.2465,0.01744421906693712,0,1,3,0.3036576751308026
5,0.05,hotspot,15,AgeMIS,0.2465,0.01744421906693712,0,1,1,0.3039423251277113
5,0.05,hotspot,15,GuardedFill,0.2465,0.01744421906693712,0,1,1,0.3039423251277113
5,0.05,hotspot,16,GRR,0.2148,0.888733705772812,2,2,2,0.3335787147191959
5,0.05,hotspot,16,RotatingGreedy,0.2429,0.03293536434746809,0,1,2,0.31456408252291435
5,0.05,hotspot,16,AgeMIS,0.2421,0.030152829409334985,0,1,1,0.3150702589614075
5,0.05,hotspot,16,GuardedFill,0.2425,0.03257731958762886,0,1,2,0.3145157386898014
5,0.05,hotspot,17,GRR,0.2211,0.8475802804161013,2,2,2,0.3360707900843559
5,0.05,hotspot,17,RotatingGreedy,0.2523,0.026952041220768927,0,1,3,0.3163354944896849
5,0.05,hotspot,17,AgeMIS,0.2518,0.024225575853852262,0,1,1,0.316645091952232
5,0.05,hotspot,17,GuardedFill,0.2519,0.025803890432711394,0,1,1,0.31658304343975724
5,0.05,hotspot,18,GRR,0.2204,0.8743194192377496,2,2,2,0.33028919247495775
5,0.05,hotspot,18,RotatingGreedy,0.2505,0.025149700598802394,0,1,3,0.31280524872653875
5,0.05,hotspot,18,AgeMIS,0.2501,0.023590563774490203,0,1,1,0.31304548667805243
5,0.05,hotspot,18,GuardedFill,0.2504,0.024361022364217253,0,1,1,0.3128652143171148
5,0.05,hotspot,19,GRR,0.2211,0.8629579375848032,2,2,2,0.32655985351797673
5,0.05,hotspot,19,RotatingGreedy,0.2518,0.020651310563939634,0,1,2,0.3080351278134705
5,0.05,hotspot,19,AgeMIS,0.2514,0.01869530628480509,0,1,2,0.3082619442921608
5,0.05,hotspot,19,GuardedFill,0.2518,0.021048451151707705,0,1,1,0.30774985195755794
5,0.05,hotspot,20,GRR,0.2199,0.8626648476580264,2,2,2,0.32583649892271693
5,0.05,hotspot,20,RotatingGreedy,0.2502,0.023181454836131096,0,1,3,0.3064405339306799
5,0.05,hotspot,20,AgeMIS,0.2501,0.021591363454618154,0,1,1,0.30677958246103887
5,0.05,hotspot,20,GuardedFill,0.2501,0.022391043582566973,0,1,1,0.30677958246103887
5,0.05,hotspot,21,GRR,0.221,0.8506787330316742,2,2,2,0.3326338902317016
5,0.05,hotspot,21,RotatingGreedy,0.2506,0.034317637669592976,0,1,2,0.313337680785575
5,0.05,hotspot,21,AgeMIS,0.2498,0.03122497998398719,0,1,1,0.3144020746492832
5,0.05,hotspot,21,GuardedFill,0.2507,0.035899481451934584,0,1,1,0.3135658192473032
5,0.05,hotspot,22,GRR,0.2194,0.8618960802187785,2,2,2,0.31864604247302325
5,0.05,hotspot,22,RotatingGreedy,0.2477,0.025030278562777553,0,1,2,0.30245042594510074
5,0.05,hotspot,22,AgeMIS,0.2469,0.02187120291616039,0,1,1,0.3028840499672445
5,0.05,hotspot,22,GuardedFill,0.2472,0.023462783171521034,0,1,1,0.3027210186766299
5,0.05,hotspot,23,GRR,0.2184,0.8681318681318682,2,2,2,0.3284185652288568
5,0.05,hotspot,23,RotatingGreedy,0.2524,0.02694136291600634,0,1,2,0.3074528124321324
5,0.05,hotspot,23,AgeMIS,0.2519,0.023421992854307266,0,1,1,0.3077340640288075
5,0.05,hotspot,23,GuardedFill,0.2521,0.024990083300277667,0,1,1,0.3076213900859852
5,0.05,hotspot,24,GRR,0.2208,0.8682065217391305,2,2,2,0.3278694081117561
5,0.05,hotspot,24,RotatingGreedy,0.252,0.025396825396825397,0,1,2,0.30963997234382207
5,0.05,hotspot,24,AgeMIS,0.2513,0.022284122562674095,0,1,1,0.31004440905226893
5,0.05,hotspot,24,GuardedFill,0.2516,0.02384737678855326,0,1,1,0.3098707210933637
5,0.05,hotspot,25,GRR,0.2262,0.8470380194518126,2,2,2,0.32477411172829046
5,0.05,hotspot,25,RotatingGreedy,0.2563,0.02497073741708935,0,1,2,0.3069676948738863
5,0.05,hotspot,25,AgeMIS,0.2561,0.02420929324482624,0,1,1,0.3073544438599718
5,0.05,hotspot,25,GuardedFill,0.2563,0.02575107296137339,0,1,1,0.3069666907558851
5,0.05,hotspot,26,GRR,0.2159,0.8939323761000463,2,2,2,0.3297268581740062
5,0.05,hotspot,26,RotatingGreedy,0.2472,0.025080906148867314,0,1,3,0.30986632834213373
5,0.05,hotspot,26,AgeMIS,0.2466,0.022303325223033254,0,1,1,0.31022048504567484
5,0.05,hotspot,26,GuardedFill,0.2469,0.023491292021061157,0,1,1,0.31004312709179366
5,0.05,hotspot,27,GRR,0.2175,0.8689655172413793,2,2,2,0.32106393180770065
5,0.05,hotspot,27,RotatingGreedy,0.2488,0.02532154340836013,0,1,2,0.30325157488743454
5,0.05,hotspot,27,AgeMIS,0.2483,0.022553362867498993,0,1,1,0.30352348898295844
5,0.05,hotspot,27,GuardedFill,0.2487,0.024929634097305992,0,1,2,0.3033058453064764
5,0.05,hotspot,28,GRR,0.2167,0.8629441624365483,2,2,2,0.3297940038015697
5,0.05,hotspot,28,RotatingGreedy,0.2455,0.024032586558044806,0,1,2,0.31058630071194415
5,0.05,hotspot,28,AgeMIS,0.2452,0.0232463295269168,0,1,1,0.31076574141173136
5,0.05,hotspot,28,GuardedFill,0.2454,0.023634881825590873,0,1,1,0.31064605086821373
5,0.05,hotspot,29,GRR,0.2176,0.8690257352941176,2,2,2,0.32660164950188686
5,0.05,hotspot,29,RotatingGreedy,0.25,0.0264,0,1,3,0.3062731603763877
5,0.05,hotspot,29,AgeMIS,0.2496,0.024439102564102564,0,1,1,0.3067799172434984
5,0.05,hotspot,29,GuardedFill,0.2498,0.025620496397117692,0,1,2,0.3063850806273427
5,0.2,uniform,0,GRR,0.8455,0.9046717918391485,2,2,2,0.9999404123173895
5,0.2,uniform,0,RotatingGreedy,0.9509,0.23440950678304764,1,2,4,0.9999230990698846
5,0.2,uniform,0,AgeMIS,0.9542,0.23076923076923078,1,1,2,0.9999572120439749
5,0.2,uniform,0,GuardedFill,0.9519,0.24855552053787164,1,2,2,0.9999545993661678
5,0.2,uniform,1,GRR,0.8451,0.9061649508933854,2,2,2,0.9997495145917829
5,0.2,uniform,1,RotatingGreedy,0.9521,0.23831530301438925,1,2,4,0.9998285556436148
5,0.2,uniform,1,AgeMIS,0.9545,0.22231534834992142,1,1,3,0.9999349159513046
5,0.2,uniform,1,GuardedFill,0.9506,0.24763307384809594,1,2,2,0.9998781300812558
5,0.2,uniform,2,GRR,0.8564,0.8944418496029892,2,2,2,0.9997563521359129
5,0.2,uniform,2,RotatingGreedy,0.9601,0.2451827934590147,1,2,4,0.9996874024793395
5,0.2,uniform,2,AgeMIS,0.9604,0.24000416493127863,1,1,3,0.9992695460143542
5,0.2,uniform,2,GuardedFill,0.959,0.25933263816475494,1,2,2,0.999583398682027
5,0.2,uniform,3,GRR,0.8648,0.9066836262719704,2,2,2,0.9997662467905053
5,0.2,uniform,3,RotatingGreedy,0.9692,0.25,1,2,4,0.9997645092717423
5,0.2,uniform,3,AgeMIS,0.9706,0.24253039357098702,1,1,3,0.999404811285586
5,0.2,uniform,3,GuardedFill,0.9662,0.258124611881598,1,2,2,0.9997349939210094
5,0.2,uniform,4,GRR,0.8508,0.8898683591913493,2,2,2,0.9999115101335816
5,0.2,uniform,4,RotatingGreedy,0.9579,0.23927341058565613,1,2,4,0.9999236739756318
5,0.2,uniform,4,AgeMIS,0.9606,0.2330834894857381,1,1,3,0.9997578051604598
5,0.2,uniform,4,GuardedFill,0.9563,0.2520129666422671,1,2,2,0.9999181486282488
5,0.2,uniform,5,GRR,0.8406,0.9006661908160838,2,2,2,0.9999682436712354
5,0.2,uniform,5,RotatingGreedy,0.9475,0.24422163588390502,1,2,4,0.999983403342823
5,0.2,uniform,5,AgeMIS,0.9499,0.23644594167807137,1,1,3,0.9997461162765072
5,0.2,uniform,5,GuardedFill,0.9444,0.25889453621346886,1,2,2,0.9999590325630581
5,0.2,uniform,6,GRR,0.8501,0.911657452064463,2,2,2,0.9995165552577382
5,0.2,uniform,6,RotatingGreedy,0.958,0.24979123173277662,1,2,4,0.9994036882469959
5,0.2,uniform,6,AgeMIS,0.96,0.24041666666666667,1,1,2,0.9995862172939479
5,0.2,uniform,6,GuardedFill,0.956,0.2598326359832636,1,2,2,0.9995313685078544
5,0.2,uniform,7,GRR,0.8487,0.9117473783433486,2,2,2,0.9991451613205264
5,0.2,uniform,7,RotatingGreedy,0.9591,0.24700239808153476,1,2,4,0.9989106676094647
5,0.2,uniform,7,AgeMIS,0.961,0.23714880332986474,1,1,3,0.9995356891606688
5,0.2,uniform,7,GuardedFill,0.9563,0.2557774756875458,1,2,2,0.9991763465288223
5,0.2,uniform,8,GRR,0.8513,0.8969810877481499,2,2,2,0.9998878852229454
5,0.2,uniform,8,RotatingGreedy,0.9562,0.2417904204141393,1,2,4,0.9998424648359009
5,0.2,uniform,8,AgeMIS,0.9564,0.23588456712672523,1,1,3,0.9994906503959768
5,0.2,uniform,8,GuardedFill,0.9539,0.25327602474053884,1,2,2,0.9998898492344362
5,0.2,uniform,9,GRR,0.8545,0.8977179637214745,2,2,2,0.999539634517993
5,0.2,uniform,9,RotatingGreedy,0.9625,0.25184415584415587,1,2,4,0.999599580201221
5,0.2,uniform,9,AgeMIS,0.9642,0.24351794233561502,1,1,3,0.9994766969077857
5,0.2,uniform,9,GuardedFill,0.9578,0.2610148256420965,1,2,2,0.9995749919723975
5,0.2,uniform,10,GRR,0.8396,0.9045974273463554,2,2,2,0.9997314773778838
