N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain,pending_end,max_pending_age,runtime_s,hot_p,cold_p
10001,0.4,hotspot,1,GRR,3030.78,0.6597229096140268,1,1,2,0.9549211725878433,2029,2,0.2450609589999999,0.95,0.33889567825797134
10001,0.4,hotspot,1,RotatingGreedy,3182.4158333333335,0.48637342857195226,2,3,12,0.9645589573789073,1581,5,0.3152721370000222,0.95,0.33889567825797134
10001,0.4,hotspot,1,AgeMIS,3180.935,0.4886603048055577,1,2,5,0.9644771590394257,1585,3,0.41205763400000706,0.95,0.33889567825797134
10001,0.4,hotspot,1,GuardedFill,3157.2858333333334,0.5148406740705295,1,1,2,0.9630743418059597,1684,2,0.31999611899999536,0.95,0.33889567825797134
10001,0.4,hotspot,2,GRR,3032.6316666666667,0.6597636046580005,1,1,2,0.9550678566671573,1987,1,0.2473985979999611,0.95,0.33889567825797134
10001,0.4,hotspot,2,RotatingGreedy,3184.0833333333335,0.4865976602371169,2,3,26,0.9646443328878237,1550,6,0.313005894000014,0.95,0.33889567825797134
10001,0.4,hotspot,2,AgeMIS,3182.5158333333334,0.48861369896300594,1,2,6,0.9645371823261168,1554,3,0.4071140019999575,0.95,0.33889567825797134
10001,0.4,hotspot,2,GuardedFill,3158.715,0.5149195690863743,1,1,2,0.9631749240591307,1639,1,0.3231636529999946,0.95,0.33889567825797134
10001,0.4,hotspot,3,GRR,3032.7325,0.6602000011540747,1,1,2,0.9551085916529309,2010,1,0.24158293699997557,0.95,0.33889567825797134
10001,0.4,hotspot,3,RotatingGreedy,3185.165,0.4867366892034374,2,3,13,0.9647703669313856,1524,5,0.3071016879999888,0.95,0.33889567825797134
10001,0.4,hotspot,3,AgeMIS,3184.1358333333333,0.4887519193459869,1,2,5,0.9646844673054058,1522,3,0.4146523580000121,0.95,0.33889567825797134
10001,0.4,hotspot,3,GuardedFill,3159.7941666666666,0.5154597359057934,1,1,2,0.9632745677283927,1635,1,0.31995007400001896,0.95,0.33889567825797134
10001,0.4,hotspot,4,GRR,3033.4966666666664,0.6600185814170446,1,1,2,0.9551042938904964,1967,1,0.24461836900002254,0.95,0.33889567825797134
10001,0.4,hotspot,4,RotatingGreedy,3185.0575,0.4865895932281704,2,3,12,0.9646464786603671,1520,5,0.31091116999999713,0.95,0.33889567825797134
10001,0.4,hotspot,4,AgeMIS,3184.175,0.48898327929003066,1,2,5,0.9645744909350484,1515,3,0.4126366510000139,0.95,0.33889567825797134
10001,0.4,hotspot,4,GuardedFill,3159.9383333333335,0.515510587495642,1,1,2,0.9632152423987133,1582,1,0.3269492989999776,0.95,0.33889567825797134
