arch,artifact,policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,3,2.0,200,120,80,125571,62785.5,4.011324,3.966783,5.137424,5.555167,6.732073,0.999344,234,264,0,8400,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,3,2.0,200,120,80,244905,122452.5,0.107053,0.106601,0.170995,0.245981,7.360211,0.998968,454,520,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,3,2.0,200,120,80,154825,77412.5,2.506079,2.340154,4.779976,6.07067,12.949801,0.994327,246,363,0,1258,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,4,2.0,200,120,80,155376,77688.0,2.556071,2.371694,4.948893,6.187641,13.284974,0.994065,248,361,0,1266,139132,8.628863
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,4,2.0,200,120,80,246477,123238.5,0.007469,0.0001,0.051141,0.165339,3.634812,0.999659,469,517,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,4,2.0,200,120,80,124518,62259.0,4.187845,4.154928,5.206856,5.743678,6.698186,0.999688,239,262,0,8319,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,4,2.0,200,120,80,247853,123926.5,0.10393,0.105869,0.168113,0.231428,1.022471,0.999659,472,521,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,4,2.0,200,120,80,152287,76143.5,2.687203,2.522182,5.11854,6.492268,14.897824,0.99392,248,354,0,1252,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,5,2.0,200,120,80,148997,74498.5,2.803901,2.563415,5.483798,7.509936,26.100878,0.993621,239,349,0,1183,135623,12.127457
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,5,2.0,200,120,80,248295,124147.5,0.006036,0.0001,0.050476,0.149646,1.146019,0.99907,457,524,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,5,2.0,200,120,80,128092,64046.0,3.896337,3.837135,5.005272,5.58418,6.573669,0.999537,240,266,0,8637,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,5,2.0,200,120,80,248961,124480.5,0.10341,0.105569,0.163426,0.218304,0.785415,0.999059,459,526,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,5,2.0,200,120,80,158408,79204.0,2.4082,2.265457,4.591749,5.725561,11.552804,0.99433,260,374,0,1378,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,6,2.0,200,120,80,158772,79386.0,2.415191,2.241639,4.612623,5.856907,12.660414,0.993857,250,378,0,1331,141007,7.822181
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,6,2.0,200,120,80,249158,124579.0,0.005906,0.0001,0.04588,0.147977,2.567129,0.998965,458,541,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,6,2.0,200,120,80,122959,61479.5,4.262356,4.240331,5.287786,6.027184,8.444219,0.999201,228,265,0,8168,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,6,2.0,200,120,80,249311,124655.5,0.106369,0.106961,0.172134,0.23973,2.502713,0.998968,458,541,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,6,2.0,200,120,80,149542,74771.0,2.793596,2.606642,5.300639,6.876018,17.18961,0.993615,235,362,0,1169,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,7,2.0,200,120,80,152374,76187.0,2.633708,2.42308,5.106201,6.508014,14.393351,0.993405,242,358,0,1227,136890,9.233398
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,7,2.0,200,120,80,246463,123231.5,0.005997,0.00011,0.049343,0.150447,0.879477,0.998792,454,544,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,7,2.0,200,120,80,118542,59271.0,4.501388,4.449695,6.020316,6.886116,8.186415,0.999466,220,249,0,7979,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,7,2.0,200,120,80,246893,123446.5,0.1054,0.106962,0.169185,0.23079,1.518049,0.998791,455,546,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,7,2.0,200,120,80,157430,78715.0,2.419756,2.261055,4.610004,5.803598,14.514357,0.994331,255,370,0,1318,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,8,2.0,200,120,80,152745,76372.5,2.588186,2.375753,5.076978,6.480451,16.478599,0.993327,237,360,0,1281,135805,9.757203
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,8,2.0,200,120,80,245834,122917.0,0.006146,0.00011,0.049376,0.151662,2.088728,0.999164,455,515,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,8,2.0,200,120,80,126974,63487.0,3.903818,3.730978,5.094882,9.229864,13.045581,0.999134,234,267,0,8447,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,8,2.0,200,120,80,246461,123230.5,0.103236,0.105289,0.162986,0.226793,2.355412,0.999164,456,515,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,8,2.0,200,120,80,153097,76548.5,2.577839,2.4271,4.856758,6.025314,12.336302,0.993854,241,373,0,1246,0,0.0
arm64,result-ubuntu-24.04-arm-N101-kv-bursty,gfgrr,101,bursty,kv,1,2.0,200,120,80,49225,24612.5,0.167086,0.15864,0.274665,0.373496,2.453523,0.99835,461,520,0,18561,27780,1.975979
arm64,result-ubuntu-24.04-arm-N101-kv-bursty,dguard,101,bursty,kv,1,2.0,200,120,80,50044,25022.0,0.004291,0.00024,0.000432,0.124913,1.53621,0.998311,468,527,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N101-kv-bursty,fifo,101,bursty,kv,1,2.0,200,120,80,49154,24577.0,0.176799,0.167176,0.307462,0.410631,1.0367,0.998351,461,519,0,18824,0,0.0
arm64,result-ubuntu-24.04-arm-N101-kv-bursty,waiter,101,bursty,kv,1,2.0,200,120,80,50068,25034.0,0.087618,0.083465,0.132664,0.143641,0.540266,0.998301,468,527,0,0,0,0.0
