arch,N,app,workload,policy,throughput_s,throughput_sd,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,mean_wait_ms
x86_64,101,sleep,bursty,agemwis,15728.9375,111.03906568024986,2.790208625,3.96172775,8.689362875,0.999302,0.0,0.869481875
x86_64,101,sleep,bursty,dguard,15811.8125,103.75656175463246,2.636415375,3.861552,9.209215499999999,0.99931075,0.0,0.724739
x86_64,101,sleep,bursty,fifo,4448.875,43.25567675379218,22.57850475,25.05950575,28.1708695,0.999728,0.0,17.15982925
x86_64,101,sleep,bursty,gfgrr,15696.25,92.58162421807617,2.80976125,3.982936,9.34097925,0.999325375,0.0,0.88178
x86_64,101,sleep,bursty,waiter,15564.875,138.1129842866752,3.256865875,5.0733555,11.2526055,0.9992538750000001,0.0,0.9311265
x86_64,101,sleep,saturated,agemwis,25938.125,97.02715010316831,4.9670405,60.72996025,347.185919875,0.973193,0.0,2.2105935
x86_64,101,sleep,saturated,dguard,18714.5625,363.4860419308716,15.334010875,26.111014375,73.011071125,0.997153625,0.0,3.214335125
x86_64,101,sleep,saturated,fifo,1189.0625,470.60761920096445,110.074170375,114.66462175000001,117.299416,0.999576625,0.0,95.334859375
x86_64,101,sleep,saturated,gfgrr,23817.4375,125.88158764149276,11.020086625,18.221497875,45.725190125,0.9977995,0.0,2.57167775
x86_64,101,sleep,saturated,waiter,564.1875,15.638636906256062,1165.58752625,1549.378939125,1639.4843001250001,0.319316375,0.0,120.24759975
x86_64,501,kv,bursty,agemwis,64211.125,1013.4415111039073,7.0073615,8.78213075,22.502909,0.991630625,0.0,3.805991875
x86_64,501,kv,bursty,dguard,117322.9375,2387.460656930885,0.179259375,0.430405875,25.27354325,0.998881875,0.0,0.029548375
x86_64,501,kv,bursty,fifo,48932.5,2102.4053061739955,7.9627532500000004,8.913330499999999,10.984987,0.999574625,0.0,6.281837625
x86_64,501,kv,bursty,gfgrr,63642.375,1052.2373017935229,7.323402625,9.181480875,21.41849675,0.9897025,0.0,3.882596125
